CID,StringWithMarkup,ExperimentalValue,Unit,Temperature,Conditions,FullReference
4,"greater than or equal to 100 mg/mL at 67.6 °F (NTP, 1992)",100,mg/mL,67.6°F,,CAMEO Chemicals | MONOISOPROPANOLAMINE | CAMEO Chemicals is a chemical database designed for people who are involved in hazardous material incident response and planning. CAMEO Chemicals contains a library with thousands of datasheets contai... | URL: https://cameochemicals.noaa.gov/chemical/8864
135,freely soluble (in ethanol),,,,,Joint FAO/WHO Expert Committee on Food Additives (JECFA) | 4-Hydroxybenzoic acid | The flavoring agent databse provides the most recent specifications for flavorings evaluated by JECFA. | URL: https://www.fao.org/food/food-safety-quality/scientific-advice/jecfa/jecfa-flav/details/en/c/890/
137,18.6 [ug/mL] (The mean of the results at pH 7.4),18.6,μg/mL,,,Burnham Center for Chemical Genomics | SID56322917 | Aqueous solubility in buffer at pH 7.4 | URL: https://pubchem.ncbi.nlm.nih.gov/bioassay/1996#section=Data-Table
137,Very soluble,,,,,"DrugBank | Aminolevulinic acid | The DrugBank database is a unique bioinformatics and cheminformatics resource that combines detailed drug (i.e. chemical, pharmacological and pharmaceutical) data with comprehensive drug target (i.e. ... | URL: https://www.drugbank.ca/drugs/DB00855"
137,1000 mg/mL at 25 °C,1000,mg/mL,25°C,,Human Metabolome Database (HMDB) | 5-Aminolevulinic acid | The Human Metabolome Database (HMDB) is a freely available electronic database containing detailed information about small molecule metabolites found in the human body. | URL: http://www.hmdb.ca/metabolites/HMDB0001149
138,1000 mg/mL at 20 °C,1000,mg/mL,20°C,,Human Metabolome Database (HMDB) | 5-Aminopentanoic acid | The Human Metabolome Database (HMDB) is a freely available electronic database containing detailed information about small molecule metabolites found in the human body. | URL: http://www.hmdb.ca/metabolites/HMDB0003355
144,Solubilities: 2.5 g/100 mL in 50% boiling alcohol; 5.5 g/100 mL in water at 100 °C,,,,,"Hazardous Substances Data Bank (HSDB) | 5-HYDROXYTRYPTOPHAN | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/4295"
144,"In water, 1X10+4 mg/L at 5 °C",1e+4,mg/L,5°C,,"Hazardous Substances Data Bank (HSDB) | 5-HYDROXYTRYPTOPHAN | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/4295"
174,"greater than or equal to 100 mg/mL at 63.5 °F (NTP, 1992)",100,mg/mL,63.5°F,,CAMEO Chemicals | ETHYLENE GLYCOL | CAMEO Chemicals is a chemical database designed for people who are involved in hazardous material incident response and planning. CAMEO Chemicals contains a library with thousands of datasheets contai... | URL: https://cameochemicals.noaa.gov/chemical/8660
174,"Miscible with lower aliphatic alcohols, glycerol, acetic acid, acetone and similar ketones, aldehydes, pyridine, similar coal tar bases; slightly soluble in ether (1:200); practically insoluble in benzene, its homologs, chlorinated hydrocarbons, petroleum ether, oils",,,,,"Hazardous Substances Data Bank (HSDB) | ETHYLENE GLYCOL | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/5012"
174,Miscible with water,,,,,"Hazardous Substances Data Bank (HSDB) | ETHYLENE GLYCOL | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/5012"
174,Solubility in water: miscible,,,,,ILO-WHO International Chemical Safety Cards (ICSCs) | ETHYLENE GLYCOL | The International Chemical Safety Cards (ICSCs) are data sheets intended to provide essential safety and health information on chemicals in a clear and concise way. The primary aim of the Cards is to ... | URL: https://chemicalsafety.ilo.org/dyn/icsc/showcard.display?p_card_id=0270
174,Miscible,,,,,"The National Institute for Occupational Safety and Health (NIOSH) | Ethylene glycol | The NIOSH Pocket Guide to Chemical Hazards is intended as a source of general industrial hygiene information on several hundred chemicals/classes for workers, employers, and occupational health profes... | URL: https://www.cdc.gov/niosh/npg/npgd0272.html"
176,"greater than or equal to 100 mg/mL at 73 °F (NTP, 1992)",100,mg/mL,73°F,,"CAMEO Chemicals | ACETIC ACID, GLACIAL | CAMEO Chemicals is a chemical database designed for people who are involved in hazardous material incident response and planning. CAMEO Chemicals contains a library with thousands of datasheets contai... | URL: https://cameochemicals.noaa.gov/chemical/2272"
176,,,,,,"DrugBank | Acetic acid | The DrugBank database is a unique bioinformatics and cheminformatics resource that combines detailed drug (i.e. chemical, pharmacological and pharmaceutical) data with comprehensive drug target (i.e. ... | URL: https://www.drugbank.ca/drugs/DB03166"
176,Miscible with water,,,,,"Hazardous Substances Data Bank (HSDB) | ACETIC ACID | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/40"
176,"Miscible with ethanol, ethyl ether, acetone, benzene; soluble in carbon tetrachloride, carbon disulfide",,,,,"Hazardous Substances Data Bank (HSDB) | ACETIC ACID | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/40"
176,Miscible with glycerol; insoluble in carbon disulfide,,,,,"Hazardous Substances Data Bank (HSDB) | ACETIC ACID | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/40"
176,1000.0 mg/mL,1000.0,mg/mL,,,Human Metabolome Database (HMDB) | Acetic acid | The Human Metabolome Database (HMDB) is a freely available electronic database containing detailed information about small molecule metabolites found in the human body. | URL: http://www.hmdb.ca/metabolites/HMDB0000042
176,Solubility in water: miscible,,,,,ILO-WHO International Chemical Safety Cards (ICSCs) | ACETIC ACID | The International Chemical Safety Cards (ICSCs) are data sheets intended to provide essential safety and health information on chemicals in a clear and concise way. The primary aim of the Cards is to ... | URL: https://chemicalsafety.ilo.org/dyn/icsc/showcard.display?p_card_id=0363
176,"miscible with water, alcohol, and glycerrin",,,,,Joint FAO/WHO Expert Committee on Food Additives (JECFA) | Acetic acid | The flavoring agent databse provides the most recent specifications for flavorings evaluated by JECFA. | URL: https://www.fao.org/food/food-safety-quality/scientific-advice/jecfa/jecfa-flav/details/en/c/3/
176,Miscible,,,,,"The National Institute for Occupational Safety and Health (NIOSH) | Acetic acid | The NIOSH Pocket Guide to Chemical Hazards is intended as a source of general industrial hygiene information on several hundred chemicals/classes for workers, employers, and occupational health profes... | URL: https://www.cdc.gov/niosh/npg/npgd0002.html"
177,"0.1 to 1.0 mg/mL at 66 °F (NTP, 1992)",,,,,CAMEO Chemicals | ACETALDEHYDE | CAMEO Chemicals is a chemical database designed for people who are involved in hazardous material incident response and planning. CAMEO Chemicals contains a library with thousands of datasheets contai... | URL: https://cameochemicals.noaa.gov/chemical/2269
177,Miscible with water /1X10+6 mg/L at 25 °C/,1e+6,mg/L,25°C,1X10+6 mg,"Hazardous Substances Data Bank (HSDB) | ACETALDEHYDE | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/230"
177,"Miscible with ethanol, ether, benzene; slightly soluble in chloroform",,,,,"Hazardous Substances Data Bank (HSDB) | ACETALDEHYDE | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/230"
177,"Acetaldehyde is miscible in all proportions with water and most common organic solvents, eg, acetone, benzene, ethyl alcohol, ethyl ether, gasoline, paraldehyde, toluene, xylenes, turpentine, and acetic acid.",,,,,"Hazardous Substances Data Bank (HSDB) | ACETALDEHYDE | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/230"
177,1000.0 mg/mL,1000.0,mg/mL,,,Human Metabolome Database (HMDB) | Acetaldehyde | The Human Metabolome Database (HMDB) is a freely available electronic database containing detailed information about small molecule metabolites found in the human body. | URL: http://www.hmdb.ca/metabolites/HMDB0000990
177,Solubility in water: miscible,,,,,ILO-WHO International Chemical Safety Cards (ICSCs) | ACETALDEHYDE | The International Chemical Safety Cards (ICSCs) are data sheets intended to provide essential safety and health information on chemicals in a clear and concise way. The primary aim of the Cards is to ... | URL: https://chemicalsafety.ilo.org/dyn/icsc/showcard.display?p_card_id=0009
177,"miscible with water, alcohol, organic solvents",,,,,Joint FAO/WHO Expert Committee on Food Additives (JECFA) | Acetaldehyde | The flavoring agent databse provides the most recent specifications for flavorings evaluated by JECFA. | URL: https://www.fao.org/food/food-safety-quality/scientific-advice/jecfa/jecfa-flav/details/en/c/2/
177,Miscible,,,,,"The National Institute for Occupational Safety and Health (NIOSH) | Acetaldehyde | The NIOSH Pocket Guide to Chemical Hazards is intended as a source of general industrial hygiene information on several hundred chemicals/classes for workers, employers, and occupational health profes... | URL: https://www.cdc.gov/niosh/npg/npgd0001.html"
178,"Very soluble (greater than or equal to 100 mg/mL at 72 °F) (NTP, 1992)",100,mg/mL,72°F,,CAMEO Chemicals | ACETAMIDE | CAMEO Chemicals is a chemical database designed for people who are involved in hazardous material incident response and planning. CAMEO Chemicals contains a library with thousands of datasheets contai... | URL: https://cameochemicals.noaa.gov/chemical/16061
178,,,,,,"DrugBank | Acetamide | The DrugBank database is a unique bioinformatics and cheminformatics resource that combines detailed drug (i.e. chemical, pharmacological and pharmaceutical) data with comprehensive drug target (i.e. ... | URL: https://www.drugbank.ca/drugs/DB02736"
178,"In water, 7.05X10+5 mg/L at 24.5 °C",7.05e+5,mg/L,24.5°C,,"Hazardous Substances Data Bank (HSDB) | ACETAMIDE | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/4006"
178,"One gram dissolves in 0.5 mL water, 2 mL alcohol, 6 mL pyridine",,,,,"Hazardous Substances Data Bank (HSDB) | ACETAMIDE | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/4006"
178,"Soluble in chloroform, glycerol, hot benzene",,,,,"Hazardous Substances Data Bank (HSDB) | ACETAMIDE | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/4006"
178,Slightly soluble in ether,,,,,"Hazardous Substances Data Bank (HSDB) | ACETAMIDE | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/4006"
178,2250 mg/mL at 25 °C,2250,mg/mL,25°C,,Human Metabolome Database (HMDB) | Acetamide | The Human Metabolome Database (HMDB) is a freely available electronic database containing detailed information about small molecule metabolites found in the human body. | URL: http://www.hmdb.ca/metabolites/HMDB0031645
178,"Solubility in water, g/100ml: 200",,,,,ILO-WHO International Chemical Safety Cards (ICSCs) | ACETAMIDE | The International Chemical Safety Cards (ICSCs) are data sheets intended to provide essential safety and health information on chemicals in a clear and concise way. The primary aim of the Cards is to ... | URL: https://chemicalsafety.ilo.org/dyn/icsc/showcard.display?p_card_id=0233
179,"Sparingly soluble in ether, petroleum ether",,,,,"Hazardous Substances Data Bank (HSDB) | ACETOIN | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/974"
179,"Soluble in alcohol, slightly soluble in ether.",,,,,"Hazardous Substances Data Bank (HSDB) | ACETOIN | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/974"
179,"Miscible with alcohol, propylene glycol; insoluble in vegetable oil",,,,,"Hazardous Substances Data Bank (HSDB) | ACETOIN | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/974"
179,Miscible in water.,,,,,"Hazardous Substances Data Bank (HSDB) | ACETOIN | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/974"
179,1000 mg/mL at 20 °C,1000,mg/mL,20°C,,Human Metabolome Database (HMDB) | Acetoin | The Human Metabolome Database (HMDB) is a freely available electronic database containing detailed information about small molecule metabolites found in the human body. | URL: http://www.hmdb.ca/metabolites/HMDB0003243
179,"insoluble in vegetable oils; miscible with alcohol, water, propylene glycol",,,,,Joint FAO/WHO Expert Committee on Food Additives (JECFA) | Acetoin | The flavoring agent databse provides the most recent specifications for flavorings evaluated by JECFA. | URL: https://www.fao.org/food/food-safety-quality/scientific-advice/jecfa/jecfa-flav/details/en/c/337/
180,"greater than or equal to 100 mg/mL at 72 °F (NTP, 1992)",100,mg/mL,72°F,,CAMEO Chemicals | ACETONE | CAMEO Chemicals is a chemical database designed for people who are involved in hazardous material incident response and planning. CAMEO Chemicals contains a library with thousands of datasheets contai... | URL: https://cameochemicals.noaa.gov/chemical/8
180,Miscible with water,,,,,"Hazardous Substances Data Bank (HSDB) | ACETONE | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/41"
180,Miscible with benzene,,,,,"Hazardous Substances Data Bank (HSDB) | ACETONE | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/41"
180,"Miscible with alcohol, dimethylformamide, ether",,,,,"Hazardous Substances Data Bank (HSDB) | ACETONE | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/41"
180,1000 mg/mL at 25 °C,1000,mg/mL,25°C,,Human Metabolome Database (HMDB) | Acetone | The Human Metabolome Database (HMDB) is a freely available electronic database containing detailed information about small molecule metabolites found in the human body. | URL: http://www.hmdb.ca/metabolites/HMDB0001659
180,Solubility in water: miscible,,,,,ILO-WHO International Chemical Safety Cards (ICSCs) | ACETONE | The International Chemical Safety Cards (ICSCs) are data sheets intended to provide essential safety and health information on chemicals in a clear and concise way. The primary aim of the Cards is to ... | URL: https://chemicalsafety.ilo.org/dyn/icsc/showcard.display?p_card_id=0087
180,"miscible with water, alcohol, ether, chroroform and most fixed oils",,,,,Joint FAO/WHO Expert Committee on Food Additives (JECFA) | Acetone | The flavoring agent databse provides the most recent specifications for flavorings evaluated by JECFA. | URL: https://www.fao.org/food/food-safety-quality/scientific-advice/jecfa/jecfa-flav/details/en/c/327/
180,Miscible,,,,,"The National Institute for Occupational Safety and Health (NIOSH) | Acetone | The NIOSH Pocket Guide to Chemical Hazards is intended as a source of general industrial hygiene information on several hundred chemicals/classes for workers, employers, and occupational health profes... | URL: https://www.cdc.gov/niosh/npg/npgd0004.html"
190,>20.3 [ug/mL] (The mean of the results at pH 7.4),20.3,μg/mL,,,Burnham Center for Chemical Genomics | SID47193680 | Aqueous solubility in buffer at pH 7.4 | URL: https://pubchem.ncbi.nlm.nih.gov/bioassay/1996#section=Data-Table
190,,,,,,"DrugBank | Adenine | The DrugBank database is a unique bioinformatics and cheminformatics resource that combines detailed drug (i.e. chemical, pharmacological and pharmaceutical) data with comprehensive drug target (i.e. ... | URL: https://www.drugbank.ca/drugs/DB00173"
190,1.03 mg/mL,1.03,mg/mL,,,Human Metabolome Database (HMDB) | Adenine | The Human Metabolome Database (HMDB) is a freely available electronic database containing detailed information about small molecule metabolites found in the human body. | URL: http://www.hmdb.ca/metabolites/HMDB0000034
191,>40.1 [ug/mL] (The mean of the results at pH 7.4),40.1,μg/mL,,,Burnham Center for Chemical Genomics | SID24797278 | Aqueous solubility in buffer at pH 7.4 | URL: https://pubchem.ncbi.nlm.nih.gov/bioassay/1996#section=Data-Table
196,Slightly soluble in water. Freely soluble in ethanol,,,,,EU Food Improvement Agents | ADIPIC ACID | Commission Regulation (EU) No 231/2012 of 9 March 2012 laying down specifications for food additives listed in Annexes II and III to Regulation (EC) No 1333/2008 of the European Parliament and of the ... | URL: http://data.europa.eu/eli/reg/2012/231/2024-04-23
196,"In water, 3.00X10+4 mg/L at 30 °C",3.00e+4,mg/L,30°C,,"Hazardous Substances Data Bank (HSDB) | ADIPIC ACID | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/188"
196,"In water, 0.633/100 parts (wt/wt) ether at 19 °C",,,,,"Hazardous Substances Data Bank (HSDB) | ADIPIC ACID | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/188"
196,"In water, 160 g/100 mL boiling water",,,,,"Hazardous Substances Data Bank (HSDB) | ADIPIC ACID | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/188"
196,1.4 g/100 mL water at 10 °C,,,,,"Hazardous Substances Data Bank (HSDB) | ADIPIC ACID | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/188"
196,"For more Solubility (Complete) data for ADIPIC ACID (7 total), please visit the HSDB record page.",,,,,"Hazardous Substances Data Bank (HSDB) | ADIPIC ACID | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/188"
196,30.8 mg/mL at 34 °C,30.8,mg/mL,34°C,,Human Metabolome Database (HMDB) | Adipic acid | The Human Metabolome Database (HMDB) is a freely available electronic database containing detailed information about small molecule metabolites found in the human body. | URL: http://www.hmdb.ca/metabolites/HMDB0000448
196,"Solubility in water, g/100ml at 15Â °C: 1.4 (moderate)",,,,,ILO-WHO International Chemical Safety Cards (ICSCs) | ADIPIC ACID | The International Chemical Safety Cards (ICSCs) are data sheets intended to provide essential safety and health information on chemicals in a clear and concise way. The primary aim of the Cards is to ... | URL: https://chemicalsafety.ilo.org/dyn/icsc/showcard.display?p_card_id=0369
196,slightly soluble in water; soluble in alcohol and acetone,,,,,Joint FAO/WHO Expert Committee on Food Additives (JECFA) | Adipic acid | The flavoring agent databse provides the most recent specifications for flavorings evaluated by JECFA. | URL: https://www.fao.org/food/food-safety-quality/scientific-advice/jecfa/jecfa-flav/details/en/c/462/
204,"Soluble in alcohol, methanol, pyridine",,,,,"Hazardous Substances Data Bank (HSDB) | ALLANTOIN | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/7490"
204,"Soluble in ethanol, sodium hydroxide; insoluble in ethyl ether, methanol",,,,,"Hazardous Substances Data Bank (HSDB) | ALLANTOIN | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/7490"
204,Water: 0.57% (25 °C); ethanol (96%): 0.04% (25 °C); eth/water (1/1): 0.35% (25 °C); propylene glycol/water (1/1): 0.40% (25 °C); glycerol/water (1/1): 0.60% (25 °C),,,,,"Hazardous Substances Data Bank (HSDB) | ALLANTOIN | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/7490"
204,"In water, 5.26X10+3 mg/L at 25 °C",5.26e+3,mg/L,25°C,,"Hazardous Substances Data Bank (HSDB) | ALLANTOIN | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/7490"
204,5.26 mg/mL,5.26,mg/mL,,,Human Metabolome Database (HMDB) | Allantoin | The Human Metabolome Database (HMDB) is a freely available electronic database containing detailed information about small molecule metabolites found in the human body. | URL: http://www.hmdb.ca/metabolites/HMDB0000462
205,Sparingly soluble in water; Soluble in buffer systems pH 5.5,,,,,Joint FAO/WHO Expert Committee on Food Additives (JECFA) | L-Threonine | The flavoring agent databse provides the most recent specifications for flavorings evaluated by JECFA. | URL: https://www.fao.org/food/food-safety-quality/scientific-advice/jecfa/jecfa-flav/details/en/c/2096/
205,Practically insoluble (in ethanol),,,,,Joint FAO/WHO Expert Committee on Food Additives (JECFA) | L-Threonine | The flavoring agent databse provides the most recent specifications for flavorings evaluated by JECFA. | URL: https://www.fao.org/food/food-safety-quality/scientific-advice/jecfa/jecfa-flav/details/en/c/2096/
220,0.39 mg/mL,0.39,mg/mL,,,Human Metabolome Database (HMDB) | Aminoparathion | The Human Metabolome Database (HMDB) is a freely available electronic database containing detailed information about small molecule metabolites found in the human body. | URL: http://www.hmdb.ca/metabolites/HMDB0001504
222,"34 % (NIOSH, 2024)",,,,,"CAMEO Chemicals | AMMONIA, ANHYDROUS | CAMEO Chemicals is a chemical database designed for people who are involved in hazardous material incident response and planning. CAMEO Chemicals contains a library with thousands of datasheets contai... | URL: https://cameochemicals.noaa.gov/chemical/4860"
222,"In water, 4.82X10+5 mg/L at 24 °C",4.82e+5,mg/L,24°C,,"Hazardous Substances Data Bank (HSDB) | Ammonia | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/162"
222,"In water, 47% at 0 °C; 38% at 15 °C; 34% at 20 °C; 31% at 25 °C; 28% at 30 °C; 18% at 50 °C",,,,,"Hazardous Substances Data Bank (HSDB) | Ammonia | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/162"
222,Soluble in water forming alkaline solutions; soluble in oxygenated solvents.,,,,,"Hazardous Substances Data Bank (HSDB) | Ammonia | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/162"
222,15% in 95% alcohol at 20 °C; 11% in alcohol at 30 °C,,,,,"Hazardous Substances Data Bank (HSDB) | Ammonia | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/162"
222,"For more Solubility (Complete) data for Ammonia (7 total), please visit the HSDB record page.",,,,,"Hazardous Substances Data Bank (HSDB) | Ammonia | The Hazardous Substances Data Bank (HSDB) is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. It provides information on human exposure, industrial hygiene, eme... | URL: https://pubchem.ncbi.nlm.nih.gov/source/hsdb/162"
222,482 mg/mL at 24 °C,482,mg/mL,24°C,,Human Metabolome Database (HMDB) | Ammonia | The Human Metabolome Database (HMDB) is a freely available electronic database containing detailed information about small molecule metabolites found in the human body. | URL: http://www.hmdb.ca/metabolites/HMDB0000051
222,"Solubility in water, g/100ml at 20Â °C: 54",,,,,ILO-WHO International Chemical Safety Cards (ICSCs) | AMMONIA (ANHYDROUS) | The International Chemical Safety Cards (ICSCs) are data sheets intended to provide essential safety and health information on chemicals in a clear and concise way. The primary aim of the Cards is to ... | URL: https://chemicalsafety.ilo.org/dyn/icsc/showcard.display?p_card_id=0414
222,34%,34,%,,,"The National Institute for Occupational Safety and Health (NIOSH) | Ammonia | The NIOSH Pocket Guide to Chemical Hazards is intended as a source of general industrial hygiene information on several hundred chemicals/classes for workers, employers, and occupational health profes... | URL: https://www.cdc.gov/niosh/npg/npgd0028.html"
